"","X","B365H","B365D","B365A","Season","Matchweek_round","Year","Month","Day","Hour","Minute","Referee","rPointsATM","rRankATM","rFTG_roll","rGC_roll","rS_roll","rST_roll","rF_roll","rC_roll","rY_roll","rR_roll","rOverallGK","rOverallDEF","rOverallMID","rOverallATT","r_attWorkRate","r_defWorkRate","r_avgPACE","r_avgSHOOTING","r_avgPASSING","r_avgDRIBBLING","r_avgDEFENDING","r_avgPHYSICALITY","r_avgHeight","r_avgWeight","r_avgAge","rSumWage","rSumValue","r_avgDIVING","r_avgHANDLING","r_avgKICKING","r_avgPOSITIONING","r_avgREFLEXES","r_avgSPEED","FTR"
"21",21,1.75,3.9,5,2014,6,2014,9,27,17,30,25,1.28571428571429,0.5,3,0.5,1.6551724137931,1.875,0.666666666666667,0.714285714285714,2.33333333333333,1,0.941176470588235,1.39111111111111,0.630606860158311,2.05,1,1.18181818181818,0.928994082840237,0.946551724137932,1.03184713375796,1.02900763358779,1.13008130081301,1.01424050632911,0.998364231188659,0.967148488830486,0.987951807228916,1.34379263301501,1.4771997430957,0.965116279069767,0.975308641975309,0.985915492957746,0.938271604938272,0.954545454545455,0.703125,"D"
"22",22,1.22,7,16,2014,6,2014,9,27,15,0,30,1.3,0.5,3.66666666666667,1.5,2.13636363636364,2.71428571428572,1.33333333333333,0.785714285714286,2.33333333333333,1,1.00843079922027,1.125,1.12925170068027,0.582191780821918,1.30769230769231,1.13333333333333,1.01408450704225,1.15732717119199,1.13085621970921,1.12836438923395,1.11111111111111,1.02110490378647,1.01069548351344,1.08609093354856,1.02136752136752,3.08108108108108,4.06060606060606,0.996705082742318,0.976494000059849,1.11359867330017,1.02033174692049,1.00999255756939,1.03346015563436,"H"
"23",23,2.63,3.4,2.88,2014,6,2014,9,27,15,0,17,0.625,2,0.857142857142858,1.25000000000001,1.125,1.44444444444444,1.10000000000001,1,1.75,1,1.01351351351351,1.05776173285199,2.02790697674419,0,0.736842105263158,0.823529411764706,0.988472622478386,1.0177304964539,1.07823129251701,1,1.05536332179931,1.02617079889807,1.011,0.997674418604651,0.986970684039087,1.6504854368932,1.6046176046176,1.01282051282051,1.01428571428571,0.843373493975904,1.05797101449275,0.9875,0.934782608695652,"H"
"24",24,6.5,4.2,1.57,2014,6,2014,9,27,15,0,4,0.75,1.83333333333333,1.66666666666667,1.5,0.638297872340424,0.857142857142857,0.733333333333333,0.428571428571429,1,0,0.936708860759494,1.10365853658537,0.66566265060241,0.857988165680473,0.608695652173913,1,0.91764705882353,0.880239520958084,0.832214765100671,0.858990944372575,0.979907264296754,0.972,1.01353383458647,1.01900237529691,0.951612903225805,0.226993865030675,0.136829836829837,0.936708860759494,1.02816901408451,1.01470588235294,0.892857142857143,0.906976744186046,0.716981132075472,"A"
"25",25,1.91,3.75,4.33,2014,6,2014,9,27,12,45,21,1.2,0.846153846153846,0.571428571428571,0.444444444444443,1.02222222222222,0.823529411764706,1.34782608695652,0.9375,1.16666666666666,1,1,1.00980392156863,0.821243523316062,2.025,1.14285714285714,0.857142857142857,1.07832167832168,1.04515050167224,1.01775147928994,1.08708272859216,0.904477611940299,0.948684210526316,1,0.975352112676055,0.889632107023411,1.56896551724138,1.37268847795164,1,1.02597402597403,0.947368421052632,0.975609756097561,1.01204819277108,1.16326530612245,"D"
"26",26,1.4,5.5,8,2014,6,2014,9,27,15,0,19,0.714285714285714,1.4,1.16666666666666,0.833333333333335,1.27272727272727,1.23076923076923,1,0.684210526315789,0.571428571428571,3,1.09210526315789,0.802083333333333,0.829931972789116,1.81944444444444,1.69230769230769,1.36363636363636,1.06684981684982,1.20601028074338,1.18780096308186,1.200472095768,0.973823906278601,1.05917532263141,0.996909272183452,1.01066666666667,0.957192982456141,3.74045801526718,5.70443088352348,1.16,0.986842105263158,1.19444444444444,1.01333333333333,1.08641975308642,1.17777777777778,"H"
"27",27,1.44,4.6,8.5,2014,6,2014,9,27,15,0,22,2.5,0.176470588235294,2.66666666666667,0.166666666666666,0.8125,1.58333333333333,1.95454545454545,1.2,1.66666666666667,1,1,1.30735930735931,1.03217158176944,0.509933774834437,0.80952380952381,0.888888888888889,0.939553219448095,0.975530179445351,1.01820940819423,0.99442119944212,1.06849315068493,1.04463040446304,0.987781036168134,0.995391705069124,0.962068965517241,1.08510638297872,1.35990888382688,0.9,1.10144927536232,0.945945945945946,1.04166666666667,0.987654320987654,1.11111111111111,"H"
"28",28,2.9,3.3,2.63,2014,6,2014,9,27,15,0,5,0.444444444444444,2.83333333333333,0.399999999999999,0.599999999999999,1.16129032258065,1.08333333333333,1.03125,2,2.25000000000001,0,0.986666666666667,0.963333333333333,0.598930481283422,1.83333333333333,0.739130434782609,1.14285714285714,1.01394765710704,0.967623252391464,0.957341269841269,1.00368767035434,1.00383141762452,1.01551480959097,1.00791979949875,0.970438799076213,0.976109215017066,0.666666666666667,0.564655172413793,0.986842105263158,1.05714285714286,0.972222222222222,0.959459459459459,0.903614457831325,1.25,"D"
"29",29,2,3.5,4.2,2014,6,2014,9,28,16,0,14,1.66666666666667,0.789473684210526,3,3,1,0.583333333333332,0.794117647058826,1.76923076923077,1,1,1.08333333333333,0.825214899713467,1.58695652173913,0,0.833333333333333,0.625,1.02212389380531,1.09838998211091,1.05797101449275,1.0273556231003,1.10326086956522,1.03988183161004,1.00250626566416,1.05889423076923,0.95145631067961,2.46835443037975,2.24709784411277,1.08219178082192,1.06944444444444,1.05797101449275,1.06944444444444,1.09333333333333,0.924528301886792,"H"
"30",30,2.15,3.4,3.8,2014,6,2014,9,29,20,0,7,1.66666666666667,0.842105263157895,0.599999999999999,0.333333333333333,0.750000000000001,0.666666666666666,0.933333333333333,0.9,1.14285714285715,1,1.0379746835443,0.993220338983051,0.784574468085106,2.0958904109589,0.523809523809524,0.933333333333333,0.903581267217631,1.01174496644295,0.987823439878234,0.962589928057554,0.912781954887218,1.01899592944369,1.02186878727634,0.997706422018348,1.03146853146853,0.979381443298969,1.13507625272331,1.03703703703704,1.0253164556962,1.02777777777778,1.06666666666667,1.01190476190476,1.30952380952381,"H"
"31",31,7.5,4.5,1.5,2014,7,2014,10,4,17,30,5,0.909090909090909,1.33333333333333,0.142857142857143,1.2,0.352941176470588,0.222222222222222,0.810810810810813,0.52,0.444444444444443,0,0.951219512195122,0.883435582822086,1.11144578313253,0.431952662721893,0.565217391304348,0.823529411764706,0.936170212765957,0.824712643678161,0.830013280212483,0.848051948051948,0.958139534883721,0.922368421052632,0.990079365079364,0.938002296211252,0.940983606557378,0.221556886227545,0.154090909090909,0.941176470588235,1.03947368421053,0.848101265822785,0.962025316455696,0.941860465116279,0.8,"A"
"32",32,2.1,3.5,3.8,2014,7,2014,10,4,15,0,23,0.75,2.14285714285714,1.2,4,0.775,1.16666666666667,0.846153846153846,0.666666666666668,1.25000000000001,1,0.906666666666667,1.24914675767918,0.506880733944954,3,1,1.21428571428571,1.01603498542274,0.991289198606272,0.977917981072555,1.01226993865031,1.05081967213115,0.983892617449664,1.00395647873393,1.01048951048951,0.983498349834985,1.03823529411765,0.995323741007194,0.822784810126582,1,1,1,0.784810126582278,1,"H"
"33",33,1.8,3.75,5,2014,7,2014,10,4,15,0,30,2.66666666666667,0.421052631578947,3,1.25000000000001,0.789473684210524,0.636363636363635,1.06060606060606,0.916666666666668,0.5,1,1.02777777777778,0.791428571428571,1.29326923076923,1.01438848920863,0.85,0.9375,1.05693430656934,0.976576576576577,0.945812807881773,0.998473282442748,1.02737226277372,1.01428571428571,0.991080277502481,0.992865636147443,0.966555183946489,0.921348314606742,0.854153846153846,1.06849315068493,0.972222222222222,1.20289855072464,0.958333333333333,1.06666666666667,0.867924528301887,"D"
